year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win,moneyline,implied_prob,over_under,cover_ou
2026,2026-01-03,Eastern Washington,2026 Eastern Washington,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-01-08,Eastern Washington,2026 Eastern Washington,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-01-10,Eastern Washington,2026 Eastern Washington,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-01-15,Eastern Washington,2026 Eastern Washington,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-01-17,Eastern Washington,2026 Eastern Washington,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-01-22,Eastern Washington,2026 Eastern Washington,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-01-24,Eastern Washington,2026 Eastern Washington,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-01-29,Eastern Washington,2026 Eastern Washington,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-01-31,Eastern Washington,2026 Eastern Washington,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-02-05,Eastern Washington,2026 Eastern Washington,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-02-07,Eastern Washington,2026 Eastern Washington,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-02-12,Eastern Washington,2026 Eastern Washington,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-02-14,Eastern Washington,2026 Eastern Washington,Weber St.,2026 Weber St.,Home,,,0,,,0,,
2026,2026-02-19,Eastern Washington,2026 Eastern Washington,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-02-21,Eastern Washington,2026 Eastern Washington,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-02-26,Eastern Washington,2026 Eastern Washington,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-02-28,Eastern Washington,2026 Eastern Washington,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-03-02,Eastern Washington,2026 Eastern Washington,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-01-01,Idaho St.,2026 Idaho St.,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-01-03,Idaho St.,2026 Idaho St.,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-01-08,Idaho St.,2026 Idaho St.,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-01-10,Idaho St.,2026 Idaho St.,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-01-15,Idaho St.,2026 Idaho St.,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-01-17,Idaho St.,2026 Idaho St.,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-01-22,Idaho St.,2026 Idaho St.,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-01-24,Idaho St.,2026 Idaho St.,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-01-31,Idaho St.,2026 Idaho St.,Weber St.,2026 Weber St.,Away,,,0,,,0,,
