year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win
2024,2023-12-28,Eastern Washington,2024 Eastern Washington,Portland St.,2024 Portland St.,Home,91,57,148,1
2024,2023-12-30,Eastern Washington,2024 Eastern Washington,Sacramento St.,2024 Sacramento St.,Home,87,61,148,1
2024,2024-01-13,Eastern Washington,2024 Eastern Washington,Idaho,2024 Idaho,Away,79,58,137,1
2024,2024-01-18,Eastern Washington,2024 Eastern Washington,Weber St.,2024 Weber St.,Away,80,78,158,1
2024,2024-01-20,Eastern Washington,2024 Eastern Washington,Idaho St.,2024 Idaho St.,Away,79,67,146,1
2024,2024-01-25,Eastern Washington,2024 Eastern Washington,Northern Colorado,2024 Northern Colorado,Home,77,74,151,1
2024,2024-01-27,Eastern Washington,2024 Eastern Washington,Northern Arizona,2024 Northern Arizona,Home,85,70,155,1
2024,2024-02-01,Eastern Washington,2024 Eastern Washington,Montana St.,2024 Montana St.,Away,60,70,130,0
2024,2024-02-03,Eastern Washington,2024 Eastern Washington,Montana,2024 Montana,Away,78,65,143,1
2024,2024-02-05,Eastern Washington,2024 Eastern Washington,Portland St.,2024 Portland St.,Away,90,77,167,1
2024,2024-02-10,Eastern Washington,2024 Eastern Washington,Idaho,2024 Idaho,Home,87,79,166,1
2024,2024-02-15,Eastern Washington,2024 Eastern Washington,Idaho St.,2024 Idaho St.,Home,88,82,170,1
2024,2024-02-17,Eastern Washington,2024 Eastern Washington,Weber St.,2024 Weber St.,Home,84,90,174,0
2024,2024-02-22,Eastern Washington,2024 Eastern Washington,Northern Arizona,2024 Northern Arizona,Away,71,78,149,0
2024,2024-02-24,Eastern Washington,2024 Eastern Washington,Northern Colorado,2024 Northern Colorado,Away,85,76,161,1
2024,2024-02-29,Eastern Washington,2024 Eastern Washington,Montana,2024 Montana,Home,89,79,168,1
2024,2024-03-02,Eastern Washington,2024 Eastern Washington,Montana St.,2024 Montana St.,Home,108,84,192,1
2024,2024-03-04,Eastern Washington,2024 Eastern Washington,Sacramento St.,2024 Sacramento St.,Away,91,88,179,1
2024,2023-12-28,Idaho St.,2024 Idaho St.,Montana St.,2024 Montana St.,Home,66,74,140,0
2024,2023-12-30,Idaho St.,2024 Idaho St.,Montana,2024 Montana,Home,68,76,144,0
2024,2024-01-11,Idaho St.,2024 Idaho St.,Portland St.,2024 Portland St.,Away,69,63,132,1
2024,2024-01-13,Idaho St.,2024 Idaho St.,Sacramento St.,2024 Sacramento St.,Away,64,66,130,0
2024,2024-01-18,Idaho St.,2024 Idaho St.,Idaho,2024 Idaho,Home,64,59,123,1
2024,2024-01-20,Idaho St.,2024 Idaho St.,Eastern Washington,2024 Eastern Washington,Home,67,79,146,0
2024,2024-01-22,Idaho St.,2024 Idaho St.,Montana St.,2024 Montana St.,Away,70,77,147,0
2024,2024-01-27,Idaho St.,2024 Idaho St.,Weber St.,2024 Weber St.,Away,74,64,138,1
2024,2024-02-01,Idaho St.,2024 Idaho St.,Northern Colorado,2024 Northern Colorado,Away,86,91,177,0
2024,2024-02-03,Idaho St.,2024 Idaho St.,Northern Arizona,2024 Northern Arizona,Away,81,79,160,1
2024,2024-02-08,Idaho St.,2024 Idaho St.,Sacramento St.,2024 Sacramento St.,Home,68,40,108,1
2024,2024-02-10,Idaho St.,2024 Idaho St.,Portland St.,2024 Portland St.,Home,68,65,133,1
