game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20041101a,a,1101,2004,East,First Round,1,2004 Saint Joseph's,16,2004 Liberty,82,63,19,145,1
20041102a,a,1102,2004,East,First Round,8,2004 Texas Tech,9,2004 Charlotte,76,73,3,149,1
20041103a,a,1103,2004,East,First Round,5,2004 Florida,12,2004 Manhattan,60,75,-15,135,0
20041104a,a,1104,2004,East,First Round,4,2004 Wake Forest,13,2004 VCU,79,78,1,157,1
20041105a,a,1105,2004,East,First Round,6,2004 Wisconsin,11,2004 Richmond,76,64,12,140,1
20041106a,a,1106,2004,East,First Round,3,2004 Pittsburgh,14,2004 UCF,53,44,9,97,1
20041107a,a,1107,2004,East,First Round,7,2004 Memphis,10,2004 South Carolina,59,43,16,102,1
20041108a,a,1108,2004,East,First Round,2,2004 Oklahoma St.,15,2004 Eastern Washington,75,56,19,131,1
20041201a,a,1201,2004,Midwest,First Round,1,2004 Kentucky,16,2004 Florida A&M,96,76,20,172,1
20041202a,a,1202,2004,Midwest,First Round,8,2004 Washington,9,2004 UAB,100,102,-2,202,0
20041203a,a,1203,2004,Midwest,First Round,5,2004 Providence,12,2004 Pacific,58,66,-8,124,0
20041204a,a,1204,2004,Midwest,First Round,4,2004 Kansas,13,2004 Illinois Chicago,78,53,25,131,1
20041205a,a,1205,2004,Midwest,First Round,6,2004 Boston College,11,2004 Utah,58,51,7,109,1
20041206a,a,1206,2004,Midwest,First Round,3,2004 Georgia Tech,14,2004 Northern Iowa,65,60,5,125,1
20041207a,a,1207,2004,Midwest,First Round,7,2004 Michigan St.,10,2004 Nevada,66,72,-6,138,0
20041208a,a,1208,2004,Midwest,First Round,2,2004 Gonzaga,15,2004 Valparaiso,76,49,27,125,1
20041301a,a,1301,2004,South,First Round,1,2004 Duke,16,2004 Alabama St.,96,61,35,157,1
20041302a,a,1302,2004,South,First Round,8,2004 Seton Hall,9,2004 Arizona,80,76,4,156,1
20041303a,a,1303,2004,South,First Round,5,2004 Illinois,12,2004 Murray St.,72,53,19,125,1
20041304a,a,1304,2004,South,First Round,4,2004 Cincinnati,13,2004 East Tennessee St.,80,77,3,157,1
20041305a,a,1305,2004,South,First Round,6,2004 North Carolina,11,2004 Air Force,63,52,11,115,1
20041306a,a,1306,2004,South,First Round,3,2004 Texas,14,2004 Princeton,66,49,17,115,1
20041307a,a,1307,2004,South,First Round,7,2004 Xavier,10,2004 Louisville,80,70,10,150,1
20041308a,a,1308,2004,South,First Round,2,2004 Mississippi St.,15,2004 Monmouth,85,52,33,137,1
20041401a,a,1401,2004,West,First Round,1,2004 Stanford,16,2004 UTSA,71,45,26,116,1
20041402a,a,1402,2004,West,First Round,8,2004 Alabama,9,2004 Southern Illinois,65,64,1,129,1
20041403a,a,1403,2004,West,First Round,5,2004 Syracuse,12,2004 BYU,80,75,5,155,1
20041404a,a,1404,2004,West,First Round,4,2004 Maryland,13,2004 UTEP,86,83,3,169,1
20041405a,a,1405,2004,West,First Round,6,2004 Vanderbilt,11,2004 Western Michigan,71,58,13,129,1
20041406a,a,1406,2004,West,First Round,3,2004 NC St.,14,2004 Louisiana,61,52,9,113,1
20041407a,a,1407,2004,West,First Round,7,2004 De Paul,10,2004 Dayton,76,69,7,145,1
20041408a,a,1408,2004,West,First Round,2,2004 Connecticut,15,2004 Vermont,70,53,17,123,1
20042109a,a,2109,2004,East,Second Round,1,2004 Saint Joseph's,8,2004 Texas Tech,70,65,5,135,1
20042110a,a,2110,2004,East,Second Round,12,2004 Manhattan,4,2004 Wake Forest,80,84,-4,164,0
20042111a,a,2111,2004,East,Second Round,6,2004 Wisconsin,3,2004 Pittsburgh,55,59,-4,114,0
20042112a,a,2112,2004,East,Second Round,7,2004 Memphis,2,2004 Oklahoma St.,53,70,-17,123,0
20042209a,a,2209,2004,Midwest,Second Round,1,2004 Kentucky,9,2004 UAB,75,76,-1,151,0
20042210a,a,2210,2004,Midwest,Second Round,12,2004 Pacific,4,2004 Kansas,63,78,-15,141,0
20042211a,a,2211,2004,Midwest,Second Round,6,2004 Boston College,3,2004 Georgia Tech,54,57,-3,111,0
20042212a,a,2212,2004,Midwest,Second Round,10,2004 Nevada,2,2004 Gonzaga,91,72,19,163,1
20042309a,a,2309,2004,South,Second Round,1,2004 Duke,8,2004 Seton Hall,90,62,28,152,1
20042310a,a,2310,2004,South,Second Round,5,2004 Illinois,4,2004 Cincinnati,92,68,24,160,1
20042311a,a,2311,2004,South,Second Round,6,2004 North Carolina,3,2004 Texas,75,78,-3,153,0
20042312a,a,2312,2004,South,Second Round,7,2004 Xavier,2,2004 Mississippi St.,89,74,15,163,1
20042409a,a,2409,2004,West,Second Round,1,2004 Stanford,8,2004 Alabama,67,70,-3,137,0
20042410a,a,2410,2004,West,Second Round,5,2004 Syracuse,4,2004 Maryland,72,70,2,142,1
20042411a,a,2411,2004,West,Second Round,6,2004 Vanderbilt,3,2004 NC St.,75,73,2,148,1
20042412a,a,2412,2004,West,Second Round,7,2004 De Paul,2,2004 Connecticut,55,72,-17,127,0
20043113a,a,3113,2004,East,Sweet 16,1,2004 Saint Joseph's,4,2004 Wake Forest,84,80,4,164,1
20043113a,a,3113,2004,East,Sweet 16,3,2004 Pittsburgh,2,2004 Oklahoma St.,51,63,-12,114,0
20043213a,a,3213,2004,Midwest,Sweet 16,9,2004 UAB,4,2004 Kansas,74,100,-26,174,0
20043214a,a,3214,2004,Midwest,Sweet 16,3,2004 Georgia Tech,10,2004 Nevada,72,67,5,139,1
20043313a,a,3313,2004,South,Sweet 16,1,2004 Duke,5,2004 Illinois,72,62,10,134,1
20043314a,a,3314,2004,South,Sweet 16,3,2004 Texas,7,2004 Xavier,71,79,-8,150,0
20043413a,a,3413,2004,West,Sweet 16,8,2004 Alabama,5,2004 Syracuse,80,71,9,151,1
20043414a,a,3414,2004,West,Sweet 16,6,2004 Vanderbilt,2,2004 Connecticut,53,73,-20,126,0
20044115a,a,4115,2004,East,Elite Eight,1,2004 Saint Joseph's,2,2004 Oklahoma St.,62,64,-2,126,0
20044215a,a,4215,2004,Midwest,Elite Eight,4,2004 Kansas,3,2004 Georgia Tech,71,79,-8,150,0
20044315a,a,4315,2004,South,Elite Eight,1,2004 Duke,7,2004 Xavier,66,63,3,129,1
20044415a,a,4415,2004,West,Elite Eight,8,2004 Alabama,2,2004 Connecticut,71,87,-16,158,0
20045516a,a,5516,2004,Final Four,Final Four,2,2004 Oklahoma St.,3,2004 Georgia Tech,65,67,-2,132,0
20045517a,a,5517,2004,Final Four,Final Four,1,2004 Duke,2,2004 Connecticut,78,79,-1,157,0
20045618a,a,5618,2004,Final Four,Championship,3,2004 Georgia Tech,2,2004 Connecticut,73,82,-9,155,0
20051101a,a,1101,2005,Midwest,First Round,1,2005 Illinois,16,2005 Fairleigh Dickinson,67,55,12,122,1
20051102a,a,1102,2005,Midwest,First Round,8,2005 Texas,9,2005 Nevada,57,61,-4,118,0
