team_id,year,team,torvik_id,home_arena,city,state
2025 Alabama,2025,Alabama,2025 Alabama,Coleman Coliseum,Tuscaloosa,AL
2025 Arkansas,2025,Arkansas,2025 Arkansas,Bud Walton Arena,Fayatteville,AR
2025 Auburn,2025,Auburn,2025 Auburn,Neville Arena,Auburn,AL
2025 Florida,2025,Florida,2025 Florida,Exactech Arena,Gainesville,FL
2025 Georgia,2025,Georgia,2025 Georgia,Stegeman Coliseum,Athens,GA
2025 Kentucky,2025,Kentucky,2025 Kentucky,Rupp Arena,Lexington,KY
2025 LSU,2025,LSU,2025 LSU,Pete Maravich Assembly Center,Baton Rouge,LA
2025 Mississippi St.,2025,Mississippi St.,2025 Mississippi St.,Humphrey Coliseum,Starkville,MS
2025 Missouri,2025,Missouri,2025 Missouri,Mizzou Arena,Columbia,MO
2025 Oklahoma,2025,Oklahoma,2025 Oklahoma,Lloyd Noble Center,Norman,OK
2025 Mississippi,2025,Mississippi,2025 Mississippi,John Black Pavilion,Oxford,MS
2025 South Carolina,2025,South Carolina,2025 South Carolina,Colonial Life Arena,Columbia,SC
2025 Tennessee,2025,Tennessee,2025 Tennessee,Thompson-Boling Arena,Knoxville,TN
2025 Texas A&M,2025,Texas A&M,2025 Texas A&M,Reed Arena,College Station,TX
2025 Texas,2025,Texas,2025 Texas,Moody Center,Austin,TX
2025 Vanderbilt,2025,Vanderbilt,2025 Vanderbilt,Memorial Gymnasium,Nashville,TN
