year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,5man_bpm,3man_bpm,wab,kenpom_rtg,torvik_rtg,5man_prpg,3man_prpg,5man_dprpg,3man_dprpg,size,height,experience,bench,raw_tempo,adj_tempo,3pr,3prd,off_dunk_share,off_close2_share,off_far2_share,off_3pt_share,def_dunk_share,def_close2_share,def_far2_share,def_3pt_share,5man_obpm,3man_obpm,kenpom_off,torvik_off,efg_pct,2p_pct,3p_pct,ft_pct,ftr,tor,orb_pct,ast_pct,blk_pct,off_dunk_fg_pct,off_close2_fg_pct,off_far2_fg_pct,off_3pt_fg_pct,5man_dbpm,3man_dbpm,kenpom_def,torvik_def,efgd_pct,2pd_pct,3pd_pct,ftd_pct,ftrd,tord,drb_pct,astd_pct,blked_pct,def_dunk_fg_pct,def_close2_fg_pct,def_far2_fg_pct,def_3pt_fg_pct,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,shot_quality_variance,rim_to_three_ratio,mid_range_reliance,paint_touch_rate,top5_scoring_concentration,top5_rebounding_concentration,top5_def_rebounding_concentration,bench_scoring_ratio,rotation_balance,tempo_advantage,effective_possession_rate,offensive_versatility_score,size_speed_index,assist_to_usage_ratio,free_throw_advantage,block_efficiency,experience_weighted_production,four_factors_composite,elite_outcome_probability,offense_defense_balance,shooting_variance_resilience,lineup_depth_quality,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_shot_quality_variance,def_rim_to_three_ratio,def_mid_range_reliance,def_paint_touch_rate,def_effective_possession_rate,defensive_versatility_score,def_size_speed_index,def_assist_suppression,def_free_throw_advantage,def_block_efficiency,def_experience_impact,def_four_factors_composite,def_lineup_depth_quality
2015,Region 1,Second Round,2015 Kentucky,2015 Cincinnati,1,8,1,20.7,12.2,14.12142705,23.1845,0.149872236,-3.5,-2,-9.5,-5.3,2.04,5.55,-0.71,6.33,4.5,3.3,-38.5,-38.4,7.5,-4,10.5,-6.3,-1.5,-0.9,0.1,0.7,7.5,5.1,27.1655,26.56525849,7.3,9.5,2.1,7.3,18.4,3.9,8.7,2.3,10.4,9.2,20.3,2.9,3,11.3,7.2,24.5163,22.89924693,10.7,11.4,5.9,2.4,6.2,0.5,-5.7,13,9.8,5.4,13.2,7.4,5.9,-13.6,-120.2,-59,-61.4,16.6966,-19.4958,-13.2543,4.201091324,0.438613114,-17.5,-8.3,0.01,0.01,0.01,6.33,-0.688342154,3.3,32.0383,5.047281217,3.56847,-1.42166327,697.62,-5.701730867,-4.252,11.465,0,0.207552235,0.437789862,-2.4,13.6,120.2,59,61.4,-10.8746,25.0281,12.4608,0.226386529,-0.110645536,21.1,19.4,-26.5194,-4.940895321,3.56847,2.985976256,-697.62,4.949723621,0.297,-6.815,-4.1
2015,Region 1,Second Round,2015 West Virginia,2015 Maryland,5,4,1,-3.9,-5.4,-2.879316398,2.5607,0.020829875,-7.1,-5.5,-1.3,2.5,-2.08,-2.91,-0.18,7.94,4.3,4.5,-28.8,-30,-1.1,6.7,-2.8,-3.9,1.8,8.1,-1.4,-6.7,-1.7,2.2,18.3192,16.59689284,1.2,1.3,0.7,0,12.5,-1.4,10.5,9.3,-0.8,14.5,-3.5,3.1,-0.4,-4.2,-7.4,16.6257,17.0053156,-1.7,-3.8,0.7,7,-11.4,9.8,1.9,-5.1,1.7,0.9,1,-4.4,0.9,-4.5,-117.4,-68.4,-31.3,9.5016,-26.7207,-14.846,5.723287056,0.273298925,-13.8,-26.2,-0.02,0,0.01,7.94,2.345334215,4.5,28.44,3.855200666,-1.83396,-2.034721574,2203.32,-7.67530389,-4.832,10.145,0,0.158150087,-2.138749937,3.9,4.5,117.4,68.4,31.3,-10.5988,14.7223,5.8723,-1.506698953,0.51388498,8.4,13.7,-28.1676,-3.058612813,-1.83396,1.888144275,-2203.32,9.881397211,-7.818,-14.43,-3.2
2015,Region 1,Second Round,2015 Butler,2015 Notre Dame,6,3,0,-1.5,-2.5,-5.082441679,-4.4436,-0.026201106,-3.8,-2.7,-1.2,0.9,-0.2,0.5,0.22,1.61,0.5,0,-38.4,-27.5,-0.4,2.3,0.5,-2.8,-6,-7.8,11.2,-3.6,2.7,4.9,10.002,8.67246165,1,-0.2,2.9,-2.2,17.2,0,3.9,-3.7,1.8,4.2,0.1,-2.9,2.9,-9,-7.5,33.6961,34.70081683,11.7,11.1,8.6,6.1,3.8,4.9,-3.2,3.8,-1.9,-0.7,7,7.8,8.1,2.7,-131.5,-79.9,-65.8,11.8551,-22.1642,-11.0425,1.90347318,0.181716675,-21.7,-23.5,0.01,-0.01,1.42E-14,1.61,-3.198368331,0,31.526,7.843179083,0.3205,-2.808244211,1072.67,-10.15611616,7.595,10.53,-3,-2.332973868,-5.759553558,2.2,-2.7,131.5,79.9,65.8,-22.1579,21.2867,8.9319,3.88149527,-0.263832274,4,13.2,-39.9133,-3.253958346,0.3205,2.180329635,-1072.67,10.37182276,-12.388,-14.975,1.5
2015,Region 1,Second Round,2015 Wichita St.,2015 Kansas,7,2,1,9.1,6.8,-4.318519711,-2.0866,-0.000141936,-1.6,0.1,-6.6,-3.3,-1.4,-2.88,0.77,-3.98,-5.9,-5.1,-32.8,-42,1.2,-1.3,-1.4,2.7,-4.9,-7.2,5.2,1.9,7.8,8.8,24.4327,23.08982802,6.3,5.4,5,2.3,1.8,2.3,3,7.8,-1.9,5.2,7.2,4,3.8,4,-1.8,20.9645,21.56856904,4.1,4,3.1,3.9,6.2,2.5,-7.9,10.2,2.8,-3.9,3.8,0.3,2.6,-10.4,-126.6,-71.5,-51.2,9.6898,-20.8769,-9.6709,0.838419258,-0.098679321,-17.6,-21.3,0,0.01,0.01,-3.98,0.334359437,-5.1,33.2636,3.352881502,-1.84899,-1.965069187,1331.76,-6.726659261,24.583,10.815,-1,0.336470389,-1.982591396,1,10.4,126.6,71.5,51.2,-14.2552,23.2675,8.8673,2.218621043,-0.499102842,24.4,19.9,-28.0469,-6.73968971,-1.84899,2.972472079,-1331.76,7.970410578,17.355,-11.175,-5.8
2015,Region 4,Second Round,2015 Wisconsin,2015 Oregon,1,8,1,28.5,19.9,8.303667258,20.3407,0.168118944,9.8,7,-8.9,-4.7,2.8,7.42,0.69,-9.07,-8.5,-7.6,-30.5,-39.4,2.7,-1.1,-2.9,4,-3.8,-1.2,9.5,-8.3,24.6,19.9,25.542,26.84088479,6.8,8.3,2.4,6.7,0.3,4.4,0.2,2.4,2.3,-1.9,8.8,5.4,3.3,8.1,0,21.1666,20.54020457,5.4,6.6,0.7,8.6,8.4,-0.3,-6.9,10.7,4.7,-2.3,7.8,1.7,-0.8,1.2,-137.1,-82.1,-78.5,13.4755,-17.7965,-8.6299,-2.245166089,-0.078829098,-12.1,-22.8,0.01,0.01,0,-9.07,-3.249041447,-7.6,39.06,1.41203108,4.58018,-2.467773801,495.14,-8.684423067,56.757,14.335,1,0.290846463,1.919767228,-4.7,-1.2,137.1,82.1,78.5,-15.0883,18.8193,3.5248,0.878843739,0.19487682,26.1,23,-34.3419,-6.381685724,4.58018,4.164091393,-495.14,10.11329438,23.886,-10.065,-8.1
2015,Region 4,Second Round,2015 Arkansas,2015 North Carolina,5,4,0,-11.2,-5.2,-2.578309232,-6.8192,-0.092675987,-4,-1,1.8,1.8,-0.14,-0.1,0.38,5.13,0.8,-0.1,-31.8,-46.1,1.3,0.8,5,-5.8,-2.7,1.4,-10.3,8.9,3.4,7.6,20.8161,21.62264369,4.9,3.4,5.2,3.7,-0.3,1.2,5.1,6.7,3.8,-0.2,8.1,0.6,4.9,-17.5,-12.9,19.957,21.37211557,2.8,4.7,-0.8,-1.2,-3.8,4.4,-5.7,9.2,4.9,7.6,9,5,0.5,-4.5,-124.8,-59.8,-51.9,13.1215,-23.0875,-14.9761,-0.741455559,0.249457678,-21.8,-25.9,0,0,0,5.13,-2.164015529,-0.1,32.1302,3.653854239,-0.07216,-1.865257248,1414.82,-7.556172901,11.75,11.855,0,0.126998225,1.923178002,4.2,4.5,124.8,59.8,51.9,-15.7309,18.1485,12.2565,-2.592877184,-0.60829705,22.9,12.7,-30.4288,0.043337194,-0.07216,2.168596386,-1414.82,7.430307723,-20.417,-11.92,4.6
2015,Region 4,Second Round,2015 Xavier,2015 Georgia St.,6,14,1,9.3,5.1,3.877640047,8.87633,0.121922249,-2.9,-1.6,-5.5,-1.1,0.57,3.77,-0.66,2.16,1.7,2.5,-25.2,-35.4,-0.2,7.3,1.6,-8.8,-2.3,-9.7,0,9.5,6.7,7.7,14.596,16.43185328,8,11.2,2.3,1.7,-1.3,4.8,-3.2,-0.6,1.9,2.5,11.1,7.8,1.9,0.5,-2.7,13.8317,12.95794114,1.7,4.5,-3.1,6.3,4,2.7,-3.4,-2.3,3.7,4.2,3.3,2.7,-2.2,0.1,-123.5,-76.6,-49.7,12.9533,-22.6087,-16.3711,-0.544457115,0.467652103,0,-13.1,0.01,0,0.01,2.16,1.449416388,2.5,30.92,-0.02646063,2.4617,-1.43353144,1653.05,-6.739396933,5.898,9.985,-1,0.029893353,3.511183639,1,-0.1,123.5,76.6,49.7,-20.0486,23.0674,15.3857,-2.111335743,-0.770598599,12.2,15.6,-33.7749,-1.908399128,2.4617,1.865181443,-1653.05,10.69570126,-2.322,-13.515,-3.2
2015,Region 4,Second Round,2015 Ohio St.,2015 Arizona,10,2,0,-7.5,-7.1,-6.547429164,-11.3077,-0.05014743,-8.6,-5,-4.2,-1.9,-0.31,-2.65,0.12,0.6,-0.7,-0.3,-36.5,-36.3,6.2,10.4,-10.9,0.5,-1.7,0,-11.8,11.8,-4.4,-2.6,29.3997,27.68993276,10.2,11.9,4.4,-1.4,-1.5,4.1,11.8,6.6,8.4,8.6,10.3,3.4,3.4,-4.7,-4.6,23.9212,22.65256126,7,7.6,4.2,0.2,19.7,5.4,-2.7,-4.1,2.9,4.5,10.2,10.1,3.8,-1,-123.1,-78.1,-54.4,22.1843,-25.7363,-9.076,2.931090744,0.503952975,-23.5,-23.8,0.01,-0.01,-0.01,0.6,-1.568237014,-0.3,33.4823,7.714392708,-1.77501,-2.339982962,1489.99,-9.026799642,-4.7,13.02,2,0.547135019,-1.460667953,1.8,1,123.1,78.1,54.4,-14.5672,18.7057,16.2366,0.707119349,-0.57799836,15.2,13.5,-32.8474,-4.582882079,-1.77501,1.83735428,-1489.99,6.196836594,-5.468,-12.095,0.1
2015,Region 2,Second Round,2015 Villanova,2015 NC St.,1,8,0,15.5,9.2,10.19368981,15.5933,0.108807382,2,0.6,-7.9,-2.4,-0.3,-0.9,0.58,-0.64,0.6,-0.1,-25.7,-35.1,3.3,-2.9,-8.5,11.4,-3.9,2.2,-2.2,0,14.8,11.5,23.8353,23.37061232,9.8,9.5,5.7,2.4,8.3,-1.2,2.2,11.3,0.8,1.5,11.5,5,6,0.2,-2.1,22.4847,21.93672361,4.1,2.2,5.3,1,5.8,5.5,-3,-7,4.9,-3.2,6,-0.7,5.2,-4.1,-130.1,-71.6,-57.1,11.5345,-17.0969,-4.4202,-1.494814997,-0.320611205,-11.3,-21.8,0,-0.01,0,-0.64,2.128757506,-0.1,37.7272,0.684521949,-0.58423,-2.191609188,1332.85,-6.490422773,30.35,14.235,2,0.042653319,0.40761336,-3.3,4.1,130.1,71.6,57.1,-9.3693,18.7018,10.8836,2.507715053,-0.052793392,21,23.3,-29.7383,-8.72969791,-0.58423,2.236985684,-1332.85,8.224100889,7.918,-9.125,-2.3
2015,Region 2,Second Round,2015 Northern Iowa,2015 Louisville,5,4,0,3.3,-0.2,-0.09844535,0.5258,-0.005130814,-8.8,-7.2,-4.7,0.9,0.04,-3.41,0.7,7.47,-8.8,-7.5,-28.6,-29.3,-3.2,4.3,-12.6,8.3,-7,-5.7,-0.5,6.1,-2.9,2.2,26.994,27.43382119,12.8,10.6,10.4,7.4,5.5,3.8,-4,-1.9,1.1,9.5,6.1,6.9,9.5,4.4,-2.4,14.3818,15.71081063,2.7,5.1,-1.2,-5.5,12.1,1.5,-8.2,0.1,6.5,8.9,6.5,0.9,-1.3,-7.5,-123.1,-80.2,-59.6,12.0797,-22.1212,-6.145,0.439047819,-0.227834309,-11,-21.3,0,-0.01,-0.01,7.47,1.097831363,-7.5,33.7452,2.05833739,-2.20185,-1.835679437,1117.83,-6.19502868,5.986,10.325,0,1.175813792,3.141176942,5.1,7.5,123.1,80.2,59.6,-18.1568,26.9697,15.9397,-4.591458926,-0.543597692,23.5,30.3,-28.6959,-6.412665913,-2.20185,2.294148764,-1117.83,11.1604521,15.104,-9.35,-6.8
