year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,5man_bpm,3man_bpm,wab,kenpom_rtg,torvik_rtg,5man_prpg,3man_prpg,5man_dprpg,3man_dprpg,size,height,experience,bench,raw_tempo,adj_tempo,3pr,3prd,off_dunk_share,off_close2_share,off_far2_share,off_3pt_share,def_dunk_share,def_close2_share,def_far2_share,def_3pt_share,5man_obpm,3man_obpm,kenpom_off,torvik_off,efg_pct,2p_pct,3p_pct,ft_pct,ftr,tor,orb_pct,ast_pct,blk_pct,off_dunk_fg_pct,off_close2_fg_pct,off_far2_fg_pct,off_3pt_fg_pct,5man_dbpm,3man_dbpm,kenpom_def,torvik_def,efgd_pct,2pd_pct,3pd_pct,ftd_pct,ftrd,tord,drb_pct,astd_pct,blked_pct,def_dunk_fg_pct,def_close2_fg_pct,def_far2_fg_pct,def_3pt_fg_pct,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,shot_quality_variance,rim_to_three_ratio,mid_range_reliance,paint_touch_rate,top5_scoring_concentration,top5_rebounding_concentration,top5_def_rebounding_concentration,bench_scoring_ratio,rotation_balance,tempo_advantage,effective_possession_rate,offensive_versatility_score,size_speed_index,assist_to_usage_ratio,free_throw_advantage,block_efficiency,experience_weighted_production,four_factors_composite,elite_outcome_probability,offense_defense_balance,shooting_variance_resilience,lineup_depth_quality,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_shot_quality_variance,def_rim_to_three_ratio,def_mid_range_reliance,def_paint_touch_rate,def_effective_possession_rate,defensive_versatility_score,def_size_speed_index,def_assist_suppression,def_free_throw_advantage,def_block_efficiency,def_experience_impact,def_four_factors_composite,def_lineup_depth_quality
2015,Region 1,Sweet 16,2015 Kentucky,2015 West Virginia,1,5,1,25,18.5,9.010267102,18.6802,0.10307926,-0.6,0.2,-10.1,-6.2,2.79,5.87,-0.63,-1.89,-5.2,-5.6,-40.1,-35.2,4.9,-5.4,10.5,-5.1,1.7,-2.3,5.1,-3,13.7,9.5,26.7707,26.1808223,-0.8,-0.1,-1.5,3.5,-12.1,11.8,9.3,2.9,8.5,2.9,7.9,-1.7,-1.6,10.2,8.9,29.4153,26.97444413,6.9,6.8,4.5,1,8.8,3.1,-9.3,17.1,3.2,5.7,4,6.5,4.6,-9.3,-114.9,-56,-28.3,21.0078,-15.891,-10.9605,3.030699462,0.2645019818,-17.5,-4.3,0.01,0.01,1.42E-14,-1.89,-1.508976826,-5.6,29.938,3.754919019,3.67033,-1.752027522,2054.43,-9.814671875,5.276,17.425,0,-0.295089736,1.811873585,-4.2,9.3,114.9,56,28.3,-5.4456,26.3258,11.679,-0.08269791911,0.09688593022,16.1,21.2,-24.7404,-3.941883049,3.67033,2.855570042,-2054.43,5.019399092,-0.303,-7.055,-1.3
2015,Region 1,Sweet 16,2015 Notre Dame,2015 Wichita St.,3,7,1,-4.9,-4.4,4.020501752,2.4148,0.000853163,2.3,1.9,-1.9,0.1,1.1,1.09,0.03,-10.83,3.2,1.9,-31.7,-32.1,5.1,11.2,-18.4,7.3,-2.7,0.7,2.5,-3.2,7.6,8.5,31.3165,32.65786174,13.4,15.9,4.8,5.9,0.3,7.2,1.1,9.7,-0.8,7.9,12.6,8.2,3.6,-12,-12.9,14.41,14.26922145,2.6,1.5,3,-1,12.1,2.2,-3.2,5.4,4.4,-7.7,1.5,0.9,2.7,2.6,-131.4,-78.5,-67.4,21.4322,-22.2407,-5.0035,1.345349709,0.2157978535,-11.2,-15.7,-0.01,0.01,0,-10.83,0.1838464376,1.9,38.3248,0.9019538034,0.66544,-2.97933089,893.34,-8.018852123,13.977,13.825,2,1.693776343,1.459894304,0.9,-2.6,131.4,78.5,67.4,-12.6901,19.8268,8.9819,4.237658138,0.0515571903,18.7,23.4,-33.963,-3.047132333,0.66544,2.674943455,-893.34,10.12842562,-20.577,-10.815,-0.9
2015,Region 4,Sweet 16,2015 Wisconsin,2015 North Carolina,1,4,1,7.8,9.3,4.876392735,9.7292,0.024763867,5.9,5.6,-5.2,-2.6,1.34,2.99,0.77,-10.84,-10.2,-10.9,-25.9,-50.7,0,3.4,-3.8,0.4,-3.7,-4.6,1.2,3.4,16.9,17.3,32.6901,34.64779609,9.3,9.4,5.9,7.6,-2,5.4,1.4,-2,0.7,2.7,9.8,5.5,6.5,-5.8,-8,24.6306,26.26416737,4.7,7.3,-1.5,2,13.6,-1.5,-16.2,20.2,6,1.6,10,1.6,-1.9,-2,-134.9,-74,-71,14.4727,-22.0005,-12.2155,-1.044603862,0.08068863229,-13,-24.6,0,-0.01,0.01,-10.84,-3.156140155,-10.9,38.093,3.620906341,1.54853,-2.023595506,678.72,-7.590662251,47.318,13.67,0,0.7463704498,3.212983667,0.4,2,134.9,74,71,-18.3169,20.3325,8.0757,-1.331079003,-0.5857342991,34.4,19.7,-33.1441,-5.853999265,1.54853,4.04100553,-678.72,10.097096,6.493,-12.125,-2.2
2015,Region 4,Sweet 16,2015 Xavier,2015 Arizona,6,2,0,-15.5,-12,-7.675433325,-13.6626,-0.079227835,-10.7,-5.2,0.1,0.9,-0.58,-0.66,0.08,0.89,-0.9,-0.9,-35.8,-37,2.4,14.8,-16.4,1.6,-4,-3.9,-7.4,11.2,-5.9,-2.2,29.3707,28.48761146,8.7,11.4,2.1,3.3,1.8,3.1,9,13.9,2,0.5,4.6,6.4,1.5,-11.9,-9.8,21.5957,19.30666254,3.4,4.5,1,2.8,12.7,2.5,-7,-1.1,0.2,2.1,5.1,5,1.5,1.1,-125,-85.2,-44.1,18.8793,-27.2027,-9.2979,-1.346291547,0.4738949656,-18,-23.2,0.01,-0.01,-0.01,0.89,-0.3714702888,-0.9,31.7073,3.065582014,-0.46593,-2.275253647,1934.34,-9.093152785,-7.644,12.105,0,0.7897678511,1.045891874,3.7,-1.1,125,85.2,44.1,-18.3414,18.8867,14.9765,0.2401065433,-0.7269220235,19.6,19.7,-35.0872,-5.182310597,-0.46593,1.864485164,-1934.34,10.73321032,-17.196,-16.17,2.1
2015,Region 2,Sweet 16,2015 NC St.,2015 Louisville,8,4,0,-6.4,-7.3,-4.627135616,-5.0616,-0.073740582,-8.8,-6.1,-2.5,1.7,0.81,-1.73,-0.15,2.1,-1.7,-1.1,-36.2,-36.1,0.8,-0.4,-0.2,0.6,-4.7,2.4,-2.1,-0.4,-4.5,2,25.825,26.67595499,6.2,4.1,6.8,3.3,1.4,5.6,3.2,-8.8,6.6,0.3,2,5.7,5.4,-3.9,-9.3,9.9633,10.57399972,2.3,5.3,-2.8,-4.3,4.7,-2.4,-4.6,-3.7,4.7,3.8,10.9,1,-2.1,-13.7,-128.8,-69.4,-56.3,10.876,-22.196,-10.5298,-2.579050654,-0.0104557482,-23.4,-22,0,0.01,0,2.1,2.972628307,-1.1,29.226,9.712365756,-1.15313,-1.947856627,803.98,-6.132081716,-8.52,8.96,-1,1.535080371,3.968813643,6.5,13.7,128.8,69.4,56.3,-13.1669,21.2871,11.275,-2.677240595,-0.05674269299,21.9,19.9,-30.8986,-4.343039947,-1.15313,2.382396987,-803.98,6.450670029,-6.309,-10.875,-5.4
2015,Region 2,Sweet 16,2015 Oklahoma,2015 Michigan St.,3,7,0,-3.7,-1.2,1.27583778,3.1788,0.012498195,-4.1,-2.7,-6.8,-2.6,0.67,1.4,-0.03,-9.44,5,4,-31.1,-31.6,3.8,-0.4,0.4,0,-4.6,0.1,0.4,-0.6,2.3,5.7,16.733,17.43984221,3.7,4.3,2,1.8,-5,-0.7,4.9,-1.6,5.6,8.4,6.3,2.6,2.7,-7.1,-7,28.2876,27.50396131,10.1,9.2,7.7,-2.1,3,2.3,-3.1,15.6,3,-0.2,13.2,4,6.7,-7.4,-127.2,-77,-68.8,12.3836,-23.2179,-11.6955,2.821247152,0.1002920268,-17.4,-23.4,-0.01,0.01,-0.01,-9.44,-1.486876256,4,31.4252,6.741412561,0.9182,-2.152434372,199.57,-6.878544327,3.799,10.905,-1,-1.097656843,-2.461208813,3.4,7.4,127.2,77,68.8,-14.3746,21.4076,9.9164,1.744452186,-0.110827914,18.8,24.3,-32.7972,-0.7730277422,0.9182,2.102889277,-199.57,6.818307435,-13.606,-9.215,0.1
2015,Region 3,Sweet 16,2015 Duke,2015 Utah,1,5,1,-1.1,-3.7,6.902285076,2.4039,0.014782173,0.6,2.1,-2.8,-0.5,-0.2,-0.56,-0.49,-11.9,3.9,5.3,-37.2,-34.5,4.6,9.1,-13.2,4.1,-0.5,1.9,7.7,-9.6,8.4,6.4,34.7231,35.73274124,14.2,15.4,7,1.8,5.7,1.5,9.3,10.4,-1.5,10.2,17.8,1.4,7.4,-10.6,-10.1,21.4877,22.0601094,8.2,5.7,8.2,0.6,17.9,0.9,-1.2,10.1,5.1,-6.3,6.2,3.3,8.6,2.6,-128.4,-73.1,-57.6,20.8567,-24.586,-7.266,3.549804662,0.2601902534,-15.2,-14.7,0.01,-0.01,-0.01,-11.9,-1.05588896,5.3,36.8549,6.443587728,-0.18434,-2.490467537,1357.49,-6.53938493,0.182,14.13,2,1.287665314,-2.646221392,-2,-2.6,128.4,73.1,57.6,-12.1799,17.2429,4.1108,5.464692807,0.4187416782,14.7,18.8,-35.867,-2.414044314,-0.18434,2.412628267,-1357.49,10.14031058,-22.604,-12.47,0.5
2015,Region 3,Sweet 16,2015 UCLA,2015 Gonzaga,11,2,0,-15.1,-9.4,-7.921659592,-14.7893,-0.139184604,-3.1,-0.7,-0.6,1,0.03,-2.02,-0.94,-8.43,2.5,1.8,-40.2,-28.8,4,7.1,-5.7,-1.5,1.8,-1.3,-4.8,6.2,-4.5,5.3,19.2702,17.26354582,5.8,5.8,4,1.5,4.7,0.1,5.2,9.2,4.7,-3.3,6.9,1,4.1,-15.9,-14.7,23.7885,23.43561106,9.7,11.4,5.3,-1.1,6.4,2.2,-5.8,-0.9,0.3,4.3,12.6,12,4.5,0.1,-130.1,-75.6,-60.3,14.4193,-25.3351,-9.824,-2.577619723,0.4373351457,-26.1,-26.5,0,0.01,-0.01,-8.43,1.190558383,1.8,30.8286,5.598329813,-1.24842,-2.71636519,810.11,-11.19450011,-23.027,9.65,-2,-0.3732683684,-5.412867065,9.8,-0.1,130.1,75.6,60.3,-12.1235,16.2577,11.8417,1.280631599,-0.1719732412,14,25.3,-39.3903,-4.635007106,-1.24842,1.679199963,-810.11,8.429338875,-41.293,-16.07,1.2
2015,Region 1,Elite Eight,2015 Kentucky,2015 Notre Dame,1,3,1,15,9.4,4.516254404,13.363,0.057428816,-3.2,-2.4,0.6,1.9,1.99,7.55,-1.04,20.34,-0.2,-0.6,-39.3,-30.4,9.1,1.2,3.4,-4.5,-4,-7.2,14.2,-7.2,11.1,10.7,20.718,19.21471645,3.7,4.1,2.1,2,20.5,1,8.8,5.5,11.7,-1.4,10.4,-1.4,2.3,-2.6,-1.4,40.7863,40.87014653,18.9,19.3,11.8,9,5.5,7.4,3.5,14.3,3.3,3.1,16.5,13.5,11.9,-1.8,-130,-68.3,-64.2,23.2665,-21.3964,-11.808,0.1964989951,0.5788082765,-24.6,-15.1,0.01,1.42E-14,-0.01,20.34,-1.71487858,-0.6,34.2742,4.394720405,4.79821,-2.671821617,1228.1,-10.05629369,-2.401,13.335,-2,-2.029128255,-3.913256065,-0.4,1.8,130,68.3,64.2,-18.3491,23.9517,7.5997,4.094749706,-0.0522569344,7,10.6,-37.0162,0.05969931378,4.79821,2.99362866,-1228.1,5.021753207,-28.002,-9.875,1.2
2015,Region 4,Elite Eight,2015 Wisconsin,2015 Arizona,1,2,1,8.7,5.6,2.31548153,1.2108,0.008964146,1.8,2.5,-6.5,-3.9,1.3,1.68,0.6,-8.17,-7.6,-7.6,-31.6,-47.5,2.8,6.8,-12.6,5.8,-4,-4.1,4.3,-0.2,13.2,10.8,40.9027,39.88882666,10.3,13.1,2.9,7.1,-0.7,8.7,9.6,1.2,2.9,5.1,9.8,7.1,2.9,1.2,-5.2,24.9366,23.37111637,6.9,9.4,0,1.8,26,0,-10.4,12.5,4.3,-4.3,9.1,5.9,-1.6,-0.8,-133.1,-88,-59.9,16.2323,-23.4905,-7.3015,0.6060269481,0.1102702356,-21.8,-30.8,0.01,-0.01,-0.01,-8.17,-3.281728799,-7.6,36.0769,6.98826996,0.74012,-2.451075537,1529.7,-9.08760669,39.156,13.89,2,1.521284978,0.4001576974,-2.4,0.8,133.1,88,59.9,-17.4472,18.4611,6.7128,2.413424176,-0.3019132566,31.3,19.9,-35.7477,-6.667285376,0.74012,4.107609746,-1529.7,10.11829233,12.756,-14.08,-6.4
