"game_date","season","conference","home_team","away_team","home_score","away_score","neutral_site_flag"
2024-12-07,2025,"Atlantic Coast Conference","California Golden Bears","Stanford Cardinal",81,89,0
2024-12-07,2025,"Atlantic Coast Conference","Miami Hurricanes","Clemson Tigers",55,65,0
2024-12-07,2025,"Atlantic Coast Conference","NC State Wolfpack","Florida State Seminoles",84,74,0
2024-12-07,2025,"Atlantic Coast Conference","North Carolina Tar Heels","Georgia Tech Yellow Jackets",68,65,0
2024-12-07,2025,"Atlantic Coast Conference","Notre Dame Fighting Irish","Syracuse Orange",69,64,0
2024-12-07,2025,"Atlantic Coast Conference","SMU Mustangs","Virginia Cavaliers",63,51,0
2024-12-07,2025,"Atlantic Coast Conference","Virginia Tech Hokies","Pittsburgh Panthers",59,64,0
2024-12-07,2025,"Atlantic Coast Conference","Wake Forest Demon Deacons","Boston College Eagles",72,66,0
2024-12-08,2025,"Atlantic Coast Conference","Louisville Cardinals","Duke Blue Devils",65,76,0
2024-12-21,2025,"Atlantic Coast Conference","Boston College Eagles","SMU Mustangs",77,103,0
2024-12-21,2025,"Atlantic Coast Conference","Clemson Tigers","Wake Forest Demon Deacons",73,62,0
2024-12-21,2025,"Atlantic Coast Conference","Florida State Seminoles","Louisville Cardinals",76,90,0
2024-12-21,2025,"Atlantic Coast Conference","Georgia Tech Yellow Jackets","Duke Blue Devils",56,82,0
2024-12-31,2025,"Atlantic Coast Conference","Duke Blue Devils","Virginia Tech Hokies",88,65,0
2024-12-31,2025,"Atlantic Coast Conference","Georgia Tech Yellow Jackets","Notre Dame Fighting Irish",86,75,0
2024-12-31,2025,"Atlantic Coast Conference","Syracuse Orange","Wake Forest Demon Deacons",71,81,0
2024-12-31,2025,"Atlantic Coast Conference","Virginia Cavaliers","NC State Wolfpack",70,67,0
2025-01-01,2025,"Atlantic Coast Conference","Boston College Eagles","Miami Hurricanes",78,68,0
2025-01-01,2025,"Atlantic Coast Conference","Clemson Tigers","Stanford Cardinal",85,71,0
2025-01-01,2025,"Atlantic Coast Conference","Louisville Cardinals","North Carolina Tar Heels",83,70,0
2025-01-01,2025,"Atlantic Coast Conference","Pittsburgh Panthers","California Golden Bears",86,74,0
2025-01-04,2025,"Atlantic Coast Conference","Clemson Tigers","California Golden Bears",80,68,0
2025-01-04,2025,"Atlantic Coast Conference","Florida State Seminoles","Syracuse Orange",90,74,0
2025-01-04,2025,"Atlantic Coast Conference","Georgia Tech Yellow Jackets","Boston College Eagles",85,64,0
2025-01-04,2025,"Atlantic Coast Conference","Notre Dame Fighting Irish","North Carolina Tar Heels",73,74,0
2025-01-04,2025,"Atlantic Coast Conference","Pittsburgh Panthers","Stanford Cardinal",83,68,0
2025-01-04,2025,"Atlantic Coast Conference","SMU Mustangs","Duke Blue Devils",62,89,0
2025-01-04,2025,"Atlantic Coast Conference","Virginia Cavaliers","Louisville Cardinals",50,70,0
2025-01-04,2025,"Atlantic Coast Conference","Virginia Tech Hokies","Miami Hurricanes",86,85,0
2025-01-04,2025,"Atlantic Coast Conference","Wake Forest Demon Deacons","NC State Wolfpack",77,59,0
2025-01-07,2025,"Atlantic Coast Conference","Duke Blue Devils","Pittsburgh Panthers",76,47,0
2025-01-07,2025,"Atlantic Coast Conference","Louisville Cardinals","Clemson Tigers",74,64,0
2025-01-07,2025,"Atlantic Coast Conference","North Carolina Tar Heels","SMU Mustangs",82,67,0
2025-01-07,2025,"Atlantic Coast Conference","Syracuse Orange","Georgia Tech Yellow Jackets",62,55,0
2025-01-08,2025,"Atlantic Coast Conference","California Golden Bears","Virginia Cavaliers",75,61,0
2025-01-08,2025,"Atlantic Coast Conference","Miami Hurricanes","Florida State Seminoles",65,80,0
2025-01-08,2025,"Atlantic Coast Conference","NC State Wolfpack","Notre Dame Fighting Irish",66,65,0
2025-01-08,2025,"Atlantic Coast Conference","Stanford Cardinal","Virginia Tech Hokies",70,59,0
2025-01-11,2025,"Atlantic Coast Conference","Boston College Eagles","Syracuse Orange",71,79,0
2025-01-11,2025,"Atlantic Coast Conference","California Golden Bears","Virginia Tech Hokies",68,71,0
2025-01-11,2025,"Atlantic Coast Conference","Clemson Tigers","Florida State Seminoles",77,57,0
