schedule_team,torvik_team
Arizona State Sun Devils,Arizona St.
Arizona Wildcats,Arizona
BYU Cougars,BYU
Baylor Bears,Baylor
Boston College Eagles,Boston College
Butler Bulldogs,Butler
California Golden Bears,California
Cincinnati Bearcats,Cincinnati
Clemson Tigers,Clemson
Colorado Buffaloes,Colorado
Creighton Bluejays,Creighton
DePaul Blue Demons,DePaul
Duke Blue Devils,Duke
Eastern Washington Eagles,Eastern Washington
Florida State Seminoles,Florida St.
Georgetown Hoyas,Georgetown
Georgia Tech Yellow Jackets,Georgia Tech
Houston Cougars,Houston
Idaho State Bengals,Idaho St.
Idaho Vandals,Idaho
Illinois Fighting Illini,Illinois
Indiana Hoosiers,Indiana
Iowa Hawkeyes,Iowa
Iowa State Cyclones,Iowa St.
Kansas Jayhawks,Kansas
Kansas State Wildcats,Kansas St.
Louisville Cardinals,Louisville
Marquette Golden Eagles,Marquette
Maryland Terrapins,Maryland
Miami Hurricanes,Miami FL
Michigan State Spartans,Michigan St.
Michigan Wolverines,Michigan
Minnesota Golden Gophers,Minnesota
Montana Grizzlies,Montana
Montana State Bobcats,Montana St.
NC State Wolfpack,N.C. State
Nebraska Cornhuskers,Nebraska
North Carolina Tar Heels,North Carolina
Northern Arizona Lumberjacks,Northern Arizona
Northern Colorado Bears,Northern Colorado
Northwestern Wildcats,Northwestern
Notre Dame Fighting Irish,Notre Dame
Ohio State Buckeyes,Ohio St.
Oklahoma State Cowboys,Oklahoma St.
Oregon Ducks,Oregon
Penn State Nittany Lions,Penn St.
Pittsburgh Panthers,Pittsburgh
Portland State Vikings,Portland St.
Providence Friars,Providence
Purdue Boilermakers,Purdue
Rutgers Scarlet Knights,Rutgers
SMU Mustangs,SMU
Sacramento State Hornets,Sacramento St.
Seton Hall Pirates,Seton Hall
St. John's Red Storm,St. John's
Stanford Cardinal,Stanford
Syracuse Orange,Syracuse
TCU Horned Frogs,TCU
Texas Tech Red Raiders,Texas Tech
UCF Knights,UCF
UCLA Bruins,UCLA
UConn Huskies,Connecticut
USC Trojans,USC
Utah Utes,Utah
Villanova Wildcats,Villanova
Virginia Cavaliers,Virginia
Virginia Tech Hokies,Virginia Tech
Wake Forest Demon Deacons,Wake Forest
Washington Huskies,Washington
Weber State Wildcats,Weber St.
West Virginia Mountaineers,West Virginia
Wisconsin Badgers,Wisconsin
Xavier Musketeers,Xavier
